StateDesc,County,TotalPopulation,FIPS,Latitude,Longitude,NCPop
North Carolina,Alamance,169509,37001,-79.39878064,36.0436101,10488084
North Carolina,Alexander,37497,37003,-81.17707184,35.92073035,
North Carolina,Alleghany,11137,37005,-81.12768021,36.4912061,
North Carolina,Anson,24446,37007,-80.10235492,34.97361799,
North Carolina,Ashe,27203,37009,-81.50066054,36.43421847,
North Carolina,Avery,17557,37011,-81.92237076,36.07621571,
North Carolina,Beaufort,46994,37013,-76.85870951,35.49288234,
North Carolina,Bertie,18947,37015,-76.97650603,36.06580287,
North Carolina,Bladen,32722,37017,-78.5631022,34.6145459,
North Carolina,Brunswick,142820,37019,-78.23835355,34.07085676,
North Carolina,Buncombe,261191,37021,-82.53007992,35.61129365,
North Carolina,Burke,90485,37023,-81.70438372,35.74898348,
North Carolina,Cabarrus,216453,37025,-80.55136147,35.38692832,
North Carolina,Caldwell,82178,37027,-81.54699381,35.95326409,
North Carolina,Camden,10867,37029,-76.20575373,36.38667142,
North Carolina,Carteret,69473,37031,-76.65287575,34.82743684,
North Carolina,Caswell,22604,37033,-79.33361117,36.39328043,
North Carolina,Catawba,159551,37035,-81.2147025,35.66283091,
North Carolina,Chatham,74470,37037,-79.25523712,35.70270019,
North Carolina,Cherokee,28612,37039,-84.06395637,35.13364981,
North Carolina,Chowan,13943,37041,-76.60803108,36.14907031,
North Carolina,Clay,11231,37043,-83.75029961,35.05698099,
North Carolina,Cleveland,97947,37045,-81.55591847,35.33411371,
North Carolina,Columbus,55508,37047,-78.65515533,34.26579628,
North Carolina,Craven,102139,37049,-77.09274208,35.12322692,
North Carolina,Cumberland,335509,37051,-78.82754625,35.04866146,
North Carolina,Currituck,27763,37053,-76.00421593,36.40475458,
North Carolina,Dare,37009,37055,-75.78359983,35.76098874,
North Carolina,Davidson,167609,37057,-80.2121018,35.7930752,
North Carolina,Davie,42846,37059,-80.54403465,35.92923735,
North Carolina,Duplin,58741,37061,-77.9328392,34.93650209,
North Carolina,Durham,321488,37063,-78.8761148,36.03607005,
North Carolina,Edgecombe,51472,37065,-77.59721462,35.91279171,
North Carolina,Forsyth,382295,37067,-80.25613695,36.13054272,
North Carolina,Franklin,69685,37069,-78.28423759,36.08177432,
North Carolina,Gaston,224529,37071,-81.1808886,35.29453764,
North Carolina,Gates,11562,37073,-76.70059133,36.44495789,
North Carolina,Graham,8441,37075,-83.83314665,35.35017341,
North Carolina,Granville,60443,37077,-78.65301482,36.3038805,
North Carolina,Greene,21069,37079,-77.67583807,35.4857681,
North Carolina,Guilford,537174,37081,-79.78836384,36.07945683,
North Carolina,Halifax,50010,37083,-77.65213264,36.25738801,
North Carolina,Harnett,135976,37085,-78.8691687,35.36867703,
North Carolina,Haywood,62317,37087,-82.9825767,35.55608368,
North Carolina,Henderson,117417,37089,-82.48040623,35.33637046,
North Carolina,Hertford,23677,37091,-76.98191331,36.35892697,
North Carolina,Hoke,55234,37093,-79.23656356,35.0173535,
North Carolina,Hyde,4937,37095,-76.24664384,35.51914426,
North Carolina,Iredell,181806,37097,-80.87338092,35.80688125,
North Carolina,Jackson,43938,37099,-83.1408275,35.2870677,
North Carolina,Johnston,209339,37101,-78.36552402,35.51765445,
North Carolina,Jones,9419,37103,-77.3554851,35.02156132,
North Carolina,Lee,61779,37105,-79.17155172,35.47523022,
North Carolina,Lenoir,55949,37107,-77.64179827,35.23910595,
North Carolina,Lincoln,86111,37109,-81.22420278,35.48628861,
North Carolina,McDowell,45756,37111,-82.04819876,35.68151237,
North Carolina,Macon,35858,37113,-83.42316855,35.1504374,
North Carolina,Madison,21755,37115,-82.70544272,35.85833626,
North Carolina,Martin,22440,37117,-77.1077157,35.84066595,
North Carolina,Mecklenburg,1110356,37119,-80.83297087,35.24659756,
North Carolina,Mitchell,14964,37121,-82.16401588,36.01419337,
North Carolina,Montgomery,27173,37123,-79.90605494,35.33263767,
North Carolina,Moore,100880,37125,-79.48158163,35.31070302,
North Carolina,Nash,94298,37127,-77.98453536,35.96716114,
North Carolina,New Hanover,234473,37129,-77.88464664,34.23007033,
North Carolina,Northampton,19483,37131,-77.39676478,36.4173661,
North Carolina,Onslow,197938,37133,-77.42764098,34.72973601,
North Carolina,Orange,148476,37135,-79.12071487,36.06124871,
North Carolina,Pamlico,12726,37137,-76.72939161,35.14685991,
North Carolina,Pasquotank,39824,37139,-76.28405892,36.29498466,
North Carolina,Pender,63060,37141,-77.90587459,34.52483165,
North Carolina,Perquimans,13463,37143,-76.4392548,36.2045522,
North Carolina,Person,39490,37145,-78.9714962,36.38999682,
North Carolina,Pitt,180742,37147,-77.37411753,35.59302266,
North Carolina,Polk,20724,37149,-82.16956431,35.27885137,
North Carolina,Randolph,143667,37151,-79.80574077,35.71012549,
North Carolina,Richmond,44829,37153,-79.74773335,35.00639254,
North Carolina,Robeson,130625,37155,-79.10372686,34.64000389,
North Carolina,Rockingham,91010,37157,-79.77530304,36.39604909,
North Carolina,Rowan,142088,37159,-80.52490764,35.63988794,
North Carolina,Rutherford,67029,37161,-81.92061763,35.40213163,
North Carolina,Sampson,63531,37163,-78.37164761,34.99194554,
North Carolina,Scotland,34823,37165,-79.48016826,34.84138015,
North Carolina,Stanly,62806,37167,-80.25085517,35.31162769,
North Carolina,Stokes,45591,37169,-80.23917708,36.40187157,
North Carolina,Surry,71783,37171,-80.68713003,36.4147049,
North Carolina,Swain,14271,37173,-83.49224385,35.4865292,
North Carolina,Transylvania,34385,37175,-82.79839492,35.20198612,
North Carolina,Tyrrell,4016,37177,-76.20679328,35.81792874,
North Carolina,Union,239859,37179,-80.53084942,34.98821301,
North Carolina,Vance,44535,37181,-78.40828917,36.36478993,
North Carolina,Wake,1111761,37183,-78.6501583,35.78984671,
North Carolina,Warren,19731,37185,-78.10670979,36.39679821,
North Carolina,Washington,11580,37187,-76.57647201,35.8227606,
North Carolina,Watauga,56177,37189,-81.69599823,36.2309516,
North Carolina,Wayne,123131,37191,-78.00390328,35.36370132,
North Carolina,Wilkes,68412,37193,-81.16272247,36.20624341,
North Carolina,Wilson,81801,37195,-77.91888936,35.70499332,
North Carolina,Yadkin,37667,37197,-80.66557121,36.16054149,
North Carolina,Yancey,18069,37199,-82.30768713,35.89830177,